Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
Fundi Capital (Pty) Ltd,120796732,YES Administrator,16-01-2019 07:14:16,July,14,Registered,yes,In-House 5000,01-03-2019,no,NA,yes,NA,Yes,3
NORVAL WENTZEL STEINBERG (PTY)LTD,0,YES Administrator,16-01-2019 12:09:00,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Hogan Lovells (South Africa) Inc.,400000000,YES Administrator,16-01-2019 15:09:51,April,28,Registered,yes,In-House 5000,01-04-2019,no,NA,yes,NA,Yes,0
Metro Expert,0,YES Administrator,17-01-2019 09:15:21,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Pencar Manufacturers (Pty) Ltd,37855545.560000002,YES Administrator,17-01-2019 10:52:28,August,2,Registered,yes,Small Biz 1700,NA,no,NA,yes,NA,Yes,0
Marcopolo South Africa,0,YES Administrator,17-01-2019 11:07:47,January,20,Registered,no,In-House 5000,15-03-2019,no,On Track - July 2019,no,NA,Partial Delivery,0
Kepu Trading (Pty) Ltd,8000000000,YES Administrator,17-01-2019 13:24:58,January,30,Registered,yes,NA,01-03-2019,no,On Track,yes,NA,Yes,0
Teleperformance,100948915,YES Administrator,17-01-2019 14:10:00,January,12,Registered,yes,In-House 5000,18-01-2019,no,NA,yes,NA,Partial Delivery,2
Burger & Wallace Construction (PTY) LTD,200000000,YES Administrator,18-01-2019 10:19:23,July,10,Registered,yes,In-House 5000,01-12-2018,no,NA,yes,Yes,Yes,0
RICKJON MINING AND ENGINEERING,318811279,YES Administrator,18-01-2019 11:32:41,March,24,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
JellyBean Events,2300000,YES Administrator,18-01-2019 11:34:18,February,1,Registered,yes,NA,NA,no,Archived,no,NA,NA,0
Aluref South Africa (Pty) Ltd,62000000,YES Administrator,18-01-2019 14:35:04,March,6,Registered,yes,In-House 5000,01-02-2019,no,On Track,yes,Yes,Yes,0
Mccormick SA,506954828,YES Administrator,18-01-2019 14:55:07,February,15,Registered,yes,Host Placement 9000,11-02-2019,no,NA,yes,NA,Yes,0
Keystone Female Youth Development NPC,0,YES Administrator,18-01-2019 16:23:16,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Synergy Global,0,YES Administrator,20-01-2019 14:36:51,March,1,Registered,no,In-House Assisted 7000,NA,no,NA,yes,NA,Yes,0
Blacklit,0,Marc Ashton,21-01-2019 09:30:37,NA,0,Initial Signup,no,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Barloworld Equipment,0,Leseli Lolwana,21-01-2019 13:27:42,October,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Musth Capital,100,YES Administrator,22-01-2019 09:28:24,June,2,Registered,yes,In-House Assisted 7000,01-03-2019,no,NA,yes,NA,Yes,0
Digicommunications (Pty) Ltd,100001,YES Administrator,22-01-2019 13:13:38,March,3,Registered,yes,NA,01-01-2019,no,Potential Host,no,NA,NA,0
Mustek Limited,4000000000,Pearl Dippenaar,22-01-2019 13:19:41,July,30,Registered,yes,In-House - 5000,01-02-2019,no,On - Track August 2019,no,NA,NA,0
USB,0,YES Administrator,22-01-2019 14:06:33,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Merchandising,0,YES Administrator,23-01-2019 05:29:03,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Designdex Architechture and Design (Pty) Ltd,13977568,YES Administrator,23-01-2019 09:18:41,March,1,Registered,yes,Small Biz 1700,01-01-2019,no,On Track,yes,NA,Yes,0
Toyota South Africa Motors (Pty) Ltd,59515512000,Lara Grieve,23-01-2019 10:06:15,April,497,Registered,yes,Host Placement 9000,01-03-2019,no,NA,yes,NA,Yes,0
Gorman - Rupp,0,YES Administrator,23-01-2019 11:22:56,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mecer Inter-Ed (Pty) Ltd.,11000000,YES Administrator,23-01-2019 13:44:27,July,2,Registered,yes,In-House - 5000,01-02-2019,no,On Track - July 2019,no,NA,NA,0
GP Retail Operations (Pty) Ltd,329384919,Lara Grieve,23-01-2019 15:26:58,March,164,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
